Folder Number;Image Number;Image Description ;Date;License;Place;Specific Location;Place in TWKM Database;Holder;Distinct Holder Name ;Holder in TWKM Website;Archaeological Site;Distinct Archaeological Site Name;Archaeological Site in TWKM Website;Archaeological Site in TWKM Database;Artefact Name;Distinct Artefact Name;Artefact Type;Artefact Type in TWKM Database;Artefact in TWKM Database;Catalogue Number;Publication;Zotero-ID;Inventory Number;Note;Creator of Image;Publications;Collection ;Editing State
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
1;KHM_1978_F47_R07_32;PNK, Jamb;1978;CC By 4.0;Hecelchakán;;;Museo Arqueológico de Hecelchakán;MHCL;http://mayawoerterbuch.de/museums/museo-arqueologico-de-hecelchakan/;PNK;PNK;;;PNK, Jamb;PNK: KHM 3 - 43;Jamb;http://idiom-projekt.de/voc/artefacttype/concept000077;;KHM 3 - 43;Mayer, Karl Herbert (1984): Maya Monuments: Sculptures of Unknown Provenance in Middle America. Maya Monuments 3. von Flemming, Berlin. Plate 76.;idiom_bibliography/items/itemKey/IS32CFSP;;;Karl Herbert Mayer;Abfrage in Zotero hier rein (falls das nicht klappt, dann link);MHCL;public
1;KHM_1978_F47_R07_33;PNK, Column, Fragment;1978;CC By 4.0;Hecelchakán;;;Museo Arqueológico de Hecelchakán;MHCL;http://mayawoerterbuch.de/museums/museo-arqueologico-de-hecelchakan/;PNK;PNK;;;PNK, Column;PNK: KHM 3 - 54;Column;http://idiom-projekt.de/voc/artefacttype/concept000080;;KHM 3 - 54;Mayer, Karl Herbert (1984): Maya Monuments: Sculptures of Unknown Provenance in Middle America. Maya Monuments 3. von Flemming, Berlin. Plate 87.;idiom_bibliography/items/itemKey/IS32CFSP;;;Karl Herbert Mayer;;MHCL;public
1;KHM_1978_F47_R07_34;PNK, Pillar, Left side;1978;CC By 4.0;Hecelchakán;;;Museo Arqueológico de Hecelchakán;MHCL;http://mayawoerterbuch.de/museums/museo-arqueologico-de-hecelchakan/;PNK;PNK;;;PNK, Pillar;PNK: KHM 3 - 44;Pillar;http://idiom-projekt.de/voc/artefacttype/concept000081;;KHM 3 - 44;Mayer, Karl Herbert (1984): Maya Monuments: Sculptures of Unknown Provenance in Middle America. Maya Monuments 3. von Flemming, Berlin. Plate 77.;idiom_bibliography/items/itemKey/IS32CFSP;;;Karl Herbert Mayer;;MHCL;public
1;KHM_1978_F47_R07_35;PNK, Pillar, Front side;1978;CC By 4.0;Hecelchakán;;;Museo Arqueológico de Hecelchakán;MHCL;http://mayawoerterbuch.de/museums/museo-arqueologico-de-hecelchakan/;PNK;PNK;;;PNK, Pillar;PNK: KHM 3 - 44;Pillar;http://idiom-projekt.de/voc/artefacttype/concept000081;;KHM 3 - 44;Mayer, Karl Herbert (1984): Maya Monuments: Sculptures of Unknown Provenance in Middle America. Maya Monuments 3. von Flemming, Berlin. Plate 77.;idiom_bibliography/items/itemKey/IS32CFSP;;;Karl Herbert Mayer;;MHCL;public
1;KHM_1978_F47_R07_36;PNK, Pillar, Right side;1978;CC By 4.0;Hecelchakán;;;Museo Arqueológico de Hecelchakán;MHCL;http://mayawoerterbuch.de/museums/museo-arqueologico-de-hecelchakan/;PNK;PNK;;;PNK, Pillar;PNK: KHM 3 - 44;Pillar;http://idiom-projekt.de/voc/artefacttype/concept000081;;KHM 3 - 44;Mayer, Karl Herbert (1984): Maya Monuments: Sculptures of Unknown Provenance in Middle America. Maya Monuments 3. von Flemming, Berlin. Plate 77.;idiom_bibliography/items/itemKey/IS32CFSP;;;Karl Herbert Mayer;;MHCL;public
1;KHM_1978_F47_R07_37;PNK, Jamb;1978;CC By 4.0;Hecelchakán;;;Museo Arqueológico de Hecelchakán;MHCL;http://mayawoerterbuch.de/museums/museo-arqueologico-de-hecelchakan/;PNK;PNK;;;PNK, Jamb;PNK: KHM 3 - 43;Jamb;http://idiom-projekt.de/voc/artefacttype/concept000077;;KHM 3 - 43;Mayer, Karl Herbert (1984): Maya Monuments: Sculptures of Unknown Provenance in Middle America. Maya Monuments 3. von Flemming, Berlin. Plate 76.;idiom_bibliography/items/itemKey/IS32CFSP;;;Karl Herbert Mayer;;MHCL;public
1;KHM_1978_F48_R01_00a;Xcalumkin, Column 3;1978;CC By 4.0;Hecelchakán;;;Museo Arqueológico de Hecelchakán;MHCL;http://mayawoerterbuch.de/museums/museo-arqueologico-de-hecelchakan/;Xcalumkin;XLM;http://mayawoerterbuch.de/sites/holactun/;;Xcalumkin, Column 3;XLM: Col. 3;Column;http://idiom-projekt.de/voc/artefacttype/concept000080;;;Graham, Ian, Eric von Euw (1992): Corpus of Maya Hieroglyphic Inscriptions, Volume 4, Part 3: Uxmal, Xcalumkin. Peabody Museum of Archaeology and Ethnology, Harvard University, Cambridge, MA.;idiom_bibliography/items/itemKey/6M2SXN7V;;;Karl Herbert Mayer;;MHCL;public
1;KHM_1978_F48_R01_00b;PNK, Column;1978;CC By 4.0;Hecelchakán;;;Museo Arqueológico de Hecelchakán;MHCL;http://mayawoerterbuch.de/museums/museo-arqueologico-de-hecelchakan/;PNK;PNK;;;PNK, Column;PNK: KHM 3 - 45;Column;http://idiom-projekt.de/voc/artefacttype/concept000080;;KHM 3 - 45;Mayer, Karl Herbert (1984): Maya Monuments: Sculptures of Unknown Provenance in Middle America. Maya Monuments 3. von Flemming, Berlin. Plate 78.;idiom_bibliography/items/itemKey/IS32CFSP;;Xcalumkin Area;Karl Herbert Mayer;;MHCL;public
1;KHM_1978_F48_R01_01;PNK, Capital;1978;CC By 4.0;Hecelchakán;;;Museo Arqueológico de Hecelchakán;MHCL;http://mayawoerterbuch.de/museums/museo-arqueologico-de-hecelchakan/;PNK;PNK;;;PNK, Capital;PNK: KHM 3 - 61;Capital;http://idiom-projekt.de/voc/artefacttype/concept000083;;KHM 3 - 61;Mayer, Karl Herbert (1984): Maya Monuments: Sculptures of Unknown Provenance in Middle America. Maya Monuments 3. von Flemming, Berlin.. Plate 91.;idiom_bibliography/items/itemKey/IS32CFSP;;;Karl Herbert Mayer;;MHCL;public
