Folder Number;Image Number;Image Description;Date;Licence;Place Name;Place in TWKM Database;Holder Name;Holder in TWKM Website;Provenance Name;Distinct Provenance Name;Provenance in TWKM Website;Provenance TWKM Database;Artefact Name;Artefact Type;Artefact Type in TWKM Database;Artefact in TWKM Database;Catalogue Number;Artefact Publication;Artefact Publication Zotero;Inventory Number;Note;Creator of Image;Collection Name;Editing State
5;KHM_1991_F364_R01_06;Acanceh, Structure 1, Stucco Frieze;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R02_07;Acanceh, Structure 1, Stucco Frieze;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R02_08;Acanceh, Structure 1, Stucco Frieze;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
4;KHM_1987_F286_R04_22(39-40);Acanceh, Structure 1, Stucco Frieze;1987;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
4;KHM_1987_F286_R04_23(41-42);Acanceh, Structure 1, Stucco Frieze;1987;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R01_01;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R01_02;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R01_03;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R01_04;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R01_05;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R02_09;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R02_10;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R02_11;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R02_12;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R03_13;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R03_14;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R03_15;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R03_16;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R03_17;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R03_18;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R04_19;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R04_20;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R04_21;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R04_22;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R04_23;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R04_24;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R05_25;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R05_26;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R05_27;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R05_28;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R05_29;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R05_30;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R06_31;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R06_32;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R06_33;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R06_34;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R07_35;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R07_36;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
5;KHM_1991_F364_R07_37;Acanceh, Structure 1, Stucco Frieze, Detail;1991;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
1;KHM_1978_F44_R03_16;Acanceh, Structure 1, Stucco Frieze, Detail;1978;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
1;KHM_1978_F44_R03_17;Acanceh, Structure 1, Stucco Frieze, Detail;1978;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
1;KHM_1978_F44_R04_18;Acanceh, Structure 1, Stucco Frieze, Detail;1978;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
1;KHM_1978_F44_R04_19;Acanceh, Structure 1, Stucco Frieze, Detail;1978;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
1;KHM_1978_F44_R04_20;Acanceh, Structure 1, Stucco Frieze, Detail;1978;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
1;KHM_1978_F44_R04_21;Acanceh, Structure 1, Stucco Frieze, Detail;1978;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
1;KHM_1978_F44_R04_22;Acanceh, Structure 1, Stucco Frieze, Detail;1978;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
4;KHM_1987_F286_R03_14(23-24);Acanceh, Structure 1, Stucco Frieze, Detail;1987;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
4;KHM_1987_F286_R03_15(25-26);Acanceh, Structure 1, Stucco Frieze, Detail;1987;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
4;KHM_1987_F286_R03_16(27-28);Acanceh, Structure 1, Stucco Frieze, Detail;1987;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
4;KHM_1987_F286_R03_17(29-30);Acanceh, Structure 1, Stucco Frieze, Detail;1987;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
4;KHM_1987_F286_R03_18(31-32);Acanceh, Structure 1, Stucco Frieze, Detail;1987;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
4;KHM_1987_F286_R04_19(33-34);Acanceh, Structure 1, Stucco Frieze, Detail;1987;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
4;KHM_1987_F286_R04_20(35-36);Acanceh, Structure 1, Stucco Frieze, Detail;1987;CC BY 4.0;Acanceh;;;;Acanceh;ACC;http://mayawoerterbuch.de/sites/acanceh/;;Acanceh, Stucco Frieze (ACC: Frz.);Stucco Mural;http://idiom-projekt.de/voc/artefacttype/concept000221;;;;;;;Karl Herbert Mayer;;
